,STOCK_CODE,Date,file_name
2156,603517.SH,20200403,sh603517_20200403
2157,603517.SH,20200407,sh603517_20200407
2158,603517.SH,20200408,sh603517_20200408
2159,603517.SH,20200409,sh603517_20200409
2160,603517.SH,20200410,sh603517_20200410
2161,603517.SH,20200413,sh603517_20200413
2162,603517.SH,20200414,sh603517_20200414
2163,000596.SZ,20200316,sz000596_20200316
2164,000596.SZ,20200317,sz000596_20200317
2165,000596.SZ,20200318,sz000596_20200318
2166,000596.SZ,20200319,sz000596_20200319
2167,000596.SZ,20200320,sz000596_20200320
2168,000596.SZ,20200323,sz000596_20200323
2169,000596.SZ,20200324,sz000596_20200324
2170,000596.SZ,20200325,sz000596_20200325
2171,000596.SZ,20200326,sz000596_20200326
2172,000596.SZ,20200327,sz000596_20200327
2173,000596.SZ,20200330,sz000596_20200330
2174,000596.SZ,20200331,sz000596_20200331
2175,000596.SZ,20200401,sz000596_20200401
2176,000596.SZ,20200402,sz000596_20200402
2177,000596.SZ,20200403,sz000596_20200403
2178,000596.SZ,20200407,sz000596_20200407
2179,000596.SZ,20200408,sz000596_20200408
2180,000596.SZ,20200409,sz000596_20200409
2181,000596.SZ,20200410,sz000596_20200410
2182,000596.SZ,20200413,sz000596_20200413
2183,000596.SZ,20200414,sz000596_20200414
2184,600004.SH,20200316,sh600004_20200316
2185,600004.SH,20200317,sh600004_20200317
2186,600004.SH,20200318,sh600004_20200318
2187,600004.SH,20200319,sh600004_20200319
2188,600004.SH,20200320,sh600004_20200320
2189,600004.SH,20200323,sh600004_20200323
2190,600004.SH,20200324,sh600004_20200324
2191,600004.SH,20200325,sh600004_20200325
2192,600004.SH,20200326,sh600004_20200326
2193,600004.SH,20200327,sh600004_20200327
2194,600004.SH,20200330,sh600004_20200330
2195,600004.SH,20200331,sh600004_20200331
2196,600004.SH,20200401,sh600004_20200401
2197,600004.SH,20200402,sh600004_20200402
2198,600004.SH,20200403,sh600004_20200403
2199,600004.SH,20200407,sh600004_20200407
2200,600004.SH,20200408,sh600004_20200408
2201,600004.SH,20200409,sh600004_20200409
2202,600004.SH,20200410,sh600004_20200410
2203,600004.SH,20200413,sh600004_20200413
2204,600004.SH,20200414,sh600004_20200414
2205,002123.SZ,20200316,sz002123_20200316
2206,002123.SZ,20200317,sz002123_20200317
2207,002123.SZ,20200318,sz002123_20200318
2208,002123.SZ,20200319,sz002123_20200319
2209,002123.SZ,20200320,sz002123_20200320
2210,002123.SZ,20200323,sz002123_20200323
2211,002123.SZ,20200324,sz002123_20200324
2212,002123.SZ,20200325,sz002123_20200325
2213,002123.SZ,20200326,sz002123_20200326
2214,002123.SZ,20200327,sz002123_20200327
2215,002123.SZ,20200330,sz002123_20200330
2216,002123.SZ,20200331,sz002123_20200331
2217,002123.SZ,20200401,sz002123_20200401
2218,002123.SZ,20200402,sz002123_20200402
2219,002123.SZ,20200403,sz002123_20200403
2220,002123.SZ,20200407,sz002123_20200407
2221,002123.SZ,20200408,sz002123_20200408
2222,002123.SZ,20200409,sz002123_20200409
2223,002123.SZ,20200410,sz002123_20200410
2224,002123.SZ,20200413,sz002123_20200413
2225,002123.SZ,20200414,sz002123_20200414
2226,603369.SH,20200316,sh603369_20200316
2227,603369.SH,20200317,sh603369_20200317
2228,603369.SH,20200318,sh603369_20200318
2229,603369.SH,20200319,sh603369_20200319
